university,color
가야대,#133984
가천대,#004E96
가톨릭관동대,#005E75
가톨릭대,#004a9a
가톨릭상지대학,#006CB5
감리교신학대,#742985
강남대,#0072BB
강동대학,#85BC22
강릉영동대학,#169f58
강릉원주대,#AA0052
강원관광대학,#181D61
강원대,#2F52A0
강원도립대학,#20907d
거제대학,#006BAC
건국대,#039f3a
건양대,#00633A
경기과학기술대학,#C9D300
경기대,#004F9E
경남과학기술대,#00B3E3
경남대,00384F
경남도립거창대학,#005D9E
경남도립남해대학,#17428B
경남정보대학,#E01837
경동대,#004098
경동대,#006EB8
경민대학,#004185
경복대학,#0069B4
경북과학대학,#D51317
경북대,#2C4283
경북도립대학,#0A1C34
경북전문대학,#334B9B
경상대,#F8AF00
경성대,#093687
경운대,#82294E
경인교대,#ED2124
경인여자대학,#8B1F31
경일대,#E00817
경주대,#FFCC00
경찰대학,#982228
경희대,#E32321
계명대,#E32321
계명문화대학,#9c9c9c
계원디자인예술대학,#81492B
고구려대학,#8C0A28
고려대,#003F91
고신대,#1D3765
공군사관학교,#209709
공주교대,#194898
공주대,#3e0c7f
광신대,#3f5493
광양보건대학,#7A232E
광운대,#E52329
광주가톨릭대,#D92616
광주과학기술원,#01a043
광주교대,#A1B93A
광주대,#0080C9
광주보건대학,#019a86
광주여대,#0058A2
구미대학,#741d40
국군간호사관학교,#F2933F
국민대,#F7941D
국제대학,#007c9d
군산간호대학,#0F549D
군산대,#009740
군장대학,#243769
그리스도대,#1C1D1B
극동대,#06509C
금강대,#005687
금오공과대,#06509C
기독간호대학,#00A4A7
김천과학대학,#9E0044
김천대,#8A0A28
김포대학,#0973B9
김해대학,#C80C0F
꽃동네대,#AE0F0A
나사렛대,#034EA2
남부대,#0095AD
남서울대,#056bb6
농협대학,#004993
단국대,#6F3995
대경대학,#003DA6
대구가톨릭대,#00B9EE
대구경북과학기술원,#000000
대구공업대학,#A24641
대구과학대학,#008dd0
대구교대,#007764
대구대,#000000
대구미래대학,#a00144
대구보건대학,#E73088
대구예술대,#0a2a6e
대구외대,#2A2F70
대구한의대,#00A77E
대덕대학,#3D3972
대동대학,#0A96CA
대림대학,#FADA33
대신대,#03562F
대원대학,#6B4299
대전가톨릭대,#00723F
대전대,#022555
대전보건대학,#954429
대전신학대,#0d2474
대진대,#9C193E
덕성여대,#0066B3
동강대학, #E17100
동국대,#00463D
동남보건대학,#8D2D43
동덕여대,#339838
동명대,#eb1c24
동부산대학,#DB052C
동서대,#006476
동서울대학,#0054A5
동신대,#0E3E94
동아대,#e31925
동아방송예술대학,#0070c5
동아인재대학,#013b82
동양대,#004993
동양미래대학,#2d3e54
동원과학기술대학,#004895
동원대학,#ED342E
동의과학대학,#0058A2
동의대,#003B8F
동주대학,#009380
두원공과대학,#034da2
루터대,#16476E
마산대학,#002E62
명지대,#A52B43
목원대,#2b3b88
목포가톨릭대,#26298f
목포과학대학,#00948D
목포대,#005D95
목포해양대,#163E95
문경대학,#004F9F
배재대,#0070b8
배화여자대학,#004899
백석대,#004899
백석문화대학,#ee9a13
백제예술대학,#003671
부경대,#aa0f5b
부산가톨릭대,#1E3466
부산경상대학,#00B4E6
부산과학기술대학,#BF1616
부산교대,#004ea2
부산대,#007130
부산여자대학,#0c4da2
부산예술대학,#FFCA05
부산외대,#0f5da7
부산장신대,#F9B000
부천대학,#14387F
삼육대,#0f64a9
삼육보건대학,#2f3490
상명대,#10367A
상지대,#D6B36A
상지영서대학,#AE0F0A
서강대,#76B72A
서경대,#0b4da1
서남대,#EB6332
서라벌대학,#0069B4
서영대학(광주),#003A79
서울과학기술대,#1D1D1B
서울교대,#1B9969
서울기독대,#22317F
서울대, #1B3280
서울시립대,#0071AD
서울신학대,#A63233
서울여대,#0d6db7
서울여자간호대학,#c4161c
서울예술대학,#B0004A
서울장신대,#0F298F
서원대,#014da2
서일대학,#18499C
서정대학,#f15c30
서해대학,#021098
선린대학,#00737E
선문대,#004F9E
성결대,#231F20
성공회대,#C8D400
성균관대,#AA114F
성덕대학,#0BA550
세경대학,#0033A0
세명대,#C3002F
세종대,#2581C4
세한대,#3e745a
송곡대학,#0060af
송원대,#219244
송호대학,#EF3E42
수성대학,#5564af
수원가톨릭대,#003361
수원과학대학,#003361
수원대,#E40521
수원여자대학,#0C2D83
숙명여대,#006BAB
순천대,#005CA9
순천제일대학,#00637D
순천향대,#0097C3
숭실대,#004388
숭의여자대학,#24459C
신경대,#95c94a
신구대학,#557531
신라대,#297550
신성대학,#0095D4
신안산대학,#007BD0
신한대(동두천),#006c76
아세아연합신학대,#005CA8
아주대,#005CA8
아주자동차대학,#010f58
안동과학대학,#312782
안동대,#1A70B2
안산대학,#23378B
안양대,#790018
여주대학,#E6378B
연성대학,#003777
연세대,#BF0C3F
연암공업대학,#0a3f7a
영남대,#005AA9
영남신학대,#0066B3
영남외국어대학,#4156A6
영남이공대학,#0068B7
영동대,#F15A22
영산대,#175fb1
영산선학대,#007D97
영진전문대학,#1baacc
예수대,#4071B7
예원예술대,#0054A6
오산대학,#005871
용인대,#004A8F
용인송담대학,#6b9c41
우석대,#0e592d
우송대,#2A376D
우송정보대학,#001C54
UNIST,#005767
울산과학대학(동부),#00A551
울산대,#910000
웅지세무대학,#144E8B
원광대,#0f3192
위덕대,#009984
유한대학,#008B44
육군사관학교,#082D6C
을지대,#006A51
이화여대,#802638
인덕대학,#00AFB4
인제대,#B00D28
인천가톨릭대,#01499A
인천대,#DF2428
인천재능대학,#0A2D88
인하공업전문대학,#005BAC
인하대,#243f6e
장로회신학대,#00a5e3
장안대학,#004098
전남과학대학,#009140
전남대,#004098
전남도립대학,#1362ad
전북과학대학,#A61D60
전북대,#7FC31C
전주교대,#2C77BC
전주기전대학,#007EBE
전주대,#E74E0F
전주비전대학,#05A0DC
제주관광대학,#0091BF
제주국제대,#004098
제주대,#1A3C7F
제주한라대학,#bacdea
조선간호대학,#0054A7
조선대,#009596
조선이공대학,#9D1D2B
중부대,#006DB5
중앙대,#ffb516
중앙승가대,#003366
중원대,#EE7800
진주교대,#00734D
진주보건대학,#0d4167
차의과학대,#004098
창신대,#004E97
창원대,#234871
창원문성대학,#b6002d
천안연암대학,#EE7300
청강문화산업대학,#1CC2E8
청암대학,#004EA2
청운대,#0081B2
청주교대,#00479D
청주대,#A89B91
초당대,#1C3C67
총신대,#f04e23
추계예술대,#016db5
춘천교대,#004EA2
춘해보건대학,#004098
충남대,#1E0D67
충남도립청양대학,#992A47
충북대,#0054A7
충북도립대학,#A7AF38
충북보건과학대학,#013C34
충청대학,#1D2088
침례신학대,#394285
칼빈대,#006939
평택대,#C9005F
포항공과대,#004098
포항대학,#004F99
한경대,#95459a
한국골프대학,#004294
한국과학기술원,#023894
한국관광대학,#0090D5
한국교원대,#6f1f20
한국교통대,#172A88
한국국제대,#EB6100
한국기술교대,#135191
한국뉴욕주립대,#9c9f2c
한국복지대학,#0082CB
한국산업기술대,#026c24
한국성서대,#0072bc
한국승강기대학,#DA005C
한국영상대학,#008395
한국외대,#A9002E
한국체육대,#312a7d
한국항공대,#1e298c
한국해양대,#af2f4d
한남대,#00579b
한동대,#29246D
한라대,#2e3192
한려대,#005BAC
한림대,#005BAC
한림성심대학,#345080
한밭대,#00633D
한서대,#004098
한성대,#00437C
한세대,#3B1E87
한신대,#003B71
한양대,#003B71
한양여자대학,#004792
한영대학,#174d96
한영신학대,#003B90
한일장신대,#E31B13
한중대,#182689
해군사관학교,#F6AC19
협성대,#15579E
혜전대학,#171C61
혜천대학,#00688D
호남대,#00688D
호남대(쌍촌),#094d97
호남신학대,#AE0023
호산대,#00A2AC
호서대,#1D5632
호원대,#002965
홍익대,#002965
건양사이버대학,#00683D
경희사이버대학,#A1000B
고려사이버대학,#7D0011
국제사이버대학,#009A43
글로벌사이버대학,#0B318F
대구사이버대학,#00806E
디지털서울문화예술대학,#0B318F
부산디지털대학,#194A8F
사이버한국외국어대학,#008195
서울디지털대학,#005C97
서울사이버대학,#339933
세종사이버대학,#CC0033
숭실사이버대학,#66CCCC
열린사이버대학,#336699
원광디지털대학,#003399
한양사이버대학,#0099FF
화신사이버대학,#FF9933
영진사이버대학,#006699
한국복지사이버대학,#000066
한국폴리텍대학,#006699
한국예술종합학교,#FF0033
서울호서직업전문학교,#336699
한국방송통신대학교,#0066CC
한국IT전문학교,#0084cc